,title,url,rate
0,仙剑奇侠传 仙劍奇俠傳,https://www.douban.com/subject/10734111/,9.6
1,新仙剑奇侠传 新仙劍奇俠傳,https://www.douban.com/subject/10833987/,9.1
2,仙剑客栈,https://www.douban.com/subject/10740718/,8.3
3,仙剑奇侠传二 仙劍奇俠傳二,https://www.douban.com/subject/10734133/,7.2
4,仙剑奇侠传三 仙劍奇俠傳三,https://www.douban.com/subject/10734314/,8.9
5,仙剑奇侠传三外传 问情篇 仙劍奇俠傳三外傳 問情篇,https://www.douban.com/subject/10736736/,7.8
6,仙剑奇侠传四 仙劍奇俠傳四,https://www.douban.com/subject/10734171/,9.3
7,仙剑奇侠传五 仙劍奇俠傳五,https://www.douban.com/subject/10734294/,6.0
8,仙剑奇侠传五前传 仙劍奇俠傳五前傳,https://www.douban.com/subject/11605139/,8.5
9,仙剑奇侠传六 仙劍奇俠傳六,https://www.douban.com/subject/26298799/,5.5
10,轩辕剑叁 云和山的彼端 軒轅劍參 雲和山的彼端,https://www.douban.com/subject/10735053/,9.3
11,轩辕剑叁外传 天之痕 軒轅劍參外傳 天之痕,https://www.douban.com/subject/10739396/,9.3
12,轩辕剑肆 黑龙舞兮云飞扬 軒轅劍肆 黑龍舞兮雲飛揚,https://www.douban.com/subject/10742373/,8.6
13,轩辕剑外传 苍之涛 軒轅劍外傳 蒼之濤,https://www.douban.com/subject/10742375/,9.0
14,轩辕剑伍 一剑凌云山海情 軒轅劍伍 一劍凌雲山海情,https://www.douban.com/subject/10745250/,6.7
15,轩辕剑外传 汉之云 軒轅劍外傳 漢之雲,https://www.douban.com/subject/10745252/,7.3
16,轩辕剑外传 云之遥 軒轅劍外傳 雲之遙,https://www.douban.com/subject/10744868/,7.3
17,軒轅劒外傳：雲之遙 蘭茵篇 轩辕剑外传:云之遥,https://www.douban.com/subject/26700988/,8.2
18,轩辕剑陆 凤凌长空千载云 軒轅劍陸 鳳凌長空千載雲,https://www.douban.com/subject/23617707/,5.5
19,轩辕剑外传 穹之扉 軒轅劍外傳 穹之扉,https://www.douban.com/subject/26366105/,7.1
20,新剑侠情缘,https://www.douban.com/subject/10736737/,8.8
21,剑侠情缘外传：月影传说,https://www.douban.com/subject/10773290/,8.5
22,古剑奇谭：琴心剑魄今何在,https://www.douban.com/subject/10734283/,9.0
23,古剑奇谭二：永夜初晗凝碧天,https://www.douban.com/subject/20495855/,8.5
24,古剑奇谭三：梦付千秋星垂野,https://www.douban.com/subject/27028686/,9.3
25,天地劫外传 寰神结,https://www.douban.com/subject/24698228/,8.0
26,天地劫序传 幽城幻剑录,https://www.douban.com/subject/10736757/,9.4
27,天地劫：神魔至尊传,https://www.douban.com/subject/11504773/,9.3
28,幻世录,https://www.douban.com/subject/10751446/,9.0
29,幻世录2-魔神战争,https://www.douban.com/subject/10772155/,8.4
30,复活：秦殇前传,https://www.douban.com/subject/21365775/,8.1
31,秦殇,https://www.douban.com/subject/10751238/,8.8
32,刀剑封魔录,https://www.douban.com/subject/10827904/,8.9
33,刀剑封魔录外传：上古传说,https://www.douban.com/subject/11443159/,9.0
34,斩妖行,https://www.douban.com/subject/34780938/,7.4
35,九霄缳神记 GOD SLAYER,https://www.douban.com/subject/34790266/,0.0
36,三国赵云传,https://www.douban.com/subject/10752611/,8.4
37,三国赵云传：纵横天下,https://www.douban.com/subject/10801044/,8.3
38,幻想三国志4,https://www.douban.com/subject/11443153/,8.5
39,三国群侠传,https://www.douban.com/subject/10752893/,8.2
40,卧龙与凤雏：三国群雄传,https://www.douban.com/subject/11601013/,7.0
41,三国群英传Ⅱ 三國群英傳 Ⅱ,https://www.douban.com/subject/10781469/,8.9
42,三国群英传Ⅳ 三國群英傳Ⅳ,https://www.douban.com/subject/20432943/,7.7
43,三国群英传Ⅵ 三國群英傳Ⅵ,https://www.douban.com/subject/21360722/,0.0
44,三国群英传Ⅶ 三國群英傳Ⅶ,https://www.douban.com/subject/10955709/,8.0
45,三国群英传8 三國群英傳VIII,https://www.douban.com/subject/35185958/,4.9
46,傲世三国,https://www.douban.com/subject/10793821/,8.5
47,赤壁,https://www.douban.com/subject/24698319/,7.7
48,富甲天下3,https://www.douban.com/subject/11533244/,8.8
49,富甲天下4,https://www.douban.com/subject/10794052/,8.6
50,富甲天下5,https://www.douban.com/subject/26589432/,7.7
51,三国立志传3 三國立志傳3,https://www.douban.com/subject/20411893/,7.6
52,武林立志传,https://www.douban.com/subject/11611431/,5.7
